Time, Ch01, Ch02, Ch03, Ch04, Ch05
0,23595.40625,0.037939250469207764,0.0014393867459148169,1.1515095138747711e-05,22345.697265625
0.004,23637.75,0.3308054506778717,0.10943224281072617,0.00088697299361228943,444623.15625
0.008,23606.447265625,1.4584668874740601,2.1271259784698486,0.017903979867696762,444623.15625
0.012,23529.38671875,4.4342446327209473,19.662527084350586,0.17520420253276825,444623.15625
0.016,23570.515625,10.620397567749023,112.7928466796875,1.0775468349456787,444623.15625
0.02,23635.771484375,21.532876968383789,463.664794921875,4.786865234375,444623.15625
0.024,23615.791015625,38.595745086669922,1489.631591796875,16.70391845703125,444623.15625
0.028,23536.162109375,62.939353942871094,3961.362548828125,48.394817352294922,444623.15625
0.032,23566.74609375,95.2725830078125,9076.865234375,121.00974273681641,444623.15625
0.036,23632.337890625,135.76860046386719,18433.115234375,268.47470092773438,444623.15625
0.04,23654.916015625,183.94462585449219,33835.625,539.15966796875,444623.15625
0.044,23580.88671875,238.59567260742188,56927.89453125,994.58282470703125,444623.15625
0.048,23582.365234375,297.81195068359375,88691.9609375,1704.1185302734375,444623.15625
0.052,23658.396484375,359.03744506835938,128907.8984375,2735.381591796875,444623.15625
0.056,23664.740234375,419.13705444335938,175675.875,4140.7880859375,444623.15625
0.06,23594.431640625,474.50137329101562,225151.546875,5942.00146484375,444623.15625
0.064,23576.287109375,521.20977783203125,271659.65625,8115.27880859375,444623.15625
0.068,23654.03125,555.22296142578125,308272.5,10581.4580078125,444623.15625
0.072,23674.609375,572.57147216796875,327838.09375,13204.162109375,444623.15625
0.076,23578.384765625,569.54571533203125,324382.34375,15799.2216796875,444623.15625
0.08,23592.380859375,542.89874267578125,294739,18157.134765625,444623.15625
0.084,23627.619140625,490.0458984375,240144.96875,20078.29296875,444623.15625
0.088,23659.302734375,409.23529052734375,167473.5,21418.083984375,444623.15625
0.092,23636.724609375,299.68350219726562,89810.2109375,22136.5625,444623.15625
0.096,23705.125,161.68400573730469,26141.71484375,22345.697265625,444623.15625
0.1,23731.853515625,-3.3173236846923828,11.004636764526367,22345.787109375,444623.15625
0.104,23696.021484375,-192.69357299804688,37130.8125,22642.833984375,444623.15625
0.108,23634.650390625,-402.657470703125,162133.046875,23939.896484375,444623.15625
0.112,23693.27734375,-628.3294677734375,394797.90625,27098.27734375,444623.15625
0.116,23732.380859375,-863.84796142578125,746233.3125,33068.14453125,444623.15625
0.12,23710.755859375,-1102.5185546875,1215547,42792.5234375,444623.15625
0.124,23638.55859375,-1337,1787569,57093.07421875,444623.15625
0.128,23676.802734375,-1559.5240478515625,2432115.25,76549.984375,444623.15625
0.132,23709.609375,-1762.1422119140625,3105145.25,101391.1640625,444623.15625
0.136,23688.890625,-1936.9847412109375,3751910,131406.453125,444623.15625
0.14,23611.26171875,-2076.52099609375,4311939,165901.953125,444623.15625
0.144,23631.052734375,-2173.822998046875,4725506.5,203706,444623.15625
0.148,23705.462890625,-2222.8203125,4940930.5,243233.453125,444623.15625
0.152,23702.21875,-2218.5390625,4921915,282608.75,444623.15625
0.156,23622.349609375,-2157.296875,4653930.5,319840.1875,444623.15625
0.16,23624.0625,-2036.8724365234375,4148849.25,353031,444623.15625
0.164,23707.869140625,-1856.6343994140625,3447091.25,380607.6875,444623.15625
0.168,23739.771484375,-1617.6328125,2616736,401541.65625,444623.15625
0.172,23670.009765625,-1322.624755859375,1749336.375,415536.34375,444623.15625
0.176,23647.21484375,-976.05029296875,952674.1875,423157.6875,444623.15625
0.18,23724.822265625,-583.96612548828125,341016.4375,425885.84375,444623.15625
0.184,23746.447265625,-153.9324951171875,23695.212890625,426075.40625,444623.15625
0.188,23680.94921875,305.15570068359375,93120,426820.34375,444623.15625
0.192,23648.26171875,783.28564453125,613536.375,431728.65625,444623.15625
0.196,23708.01171875,1269.5703125,1611808.75,444623.15625,444623.15625
0.2,23718.16796875,1752.5181884765625,3071320,469193.6875,444623.15625
0.204,23667.599609375,2220.329345703125,4929862.5,508632.59375,444623.15625
0.208,23613.21484375,2661.216796875,7082075,565289.1875,444623.15625
0.212,23672.990234375,3063.72021484375,9386382,640380.3125,444623.15625
0.216,23719.193359375,3417.012451171875,11675974,733788,444623.15625
0.22,23677.828125,3711.1953125,13772971,843971.8125,444623.15625
0.224,23615.791015625,3937.584716796875,15504573,968008.375,444623.15625
0.228,23662.619140625,4088.955810546875,16719560,1101764.75,444623.15625
0.232,23718.40625,4159.75146484375,17303532,1240193,444623.15625
0.236,23694.041015625,4146.24365234375,17191338,1377723.75,444623.15625
0.24,23626.58984375,4046.65576171875,16375422,1508727.375,444623.15625
0.244,23683.552734375,3861.241455078125,14909187,1628000.75,444623.15625
0.248,23740.9375,3592.28662109375,12904523,1731236.75,444623.15625
0.252,23743.25,3244.077392578125,10524038,1815429,444623.15625
0.256,23667.744140625,2822.807861328125,7968244,1879175,444623.15625
0.26,23672.96484375,2336.4453125,5458976,1922847,444623.15625
0.264,23736.693359375,1794.5455322265625,3220393.5,1948610,444623.15625
0.268,23755.650390625,1208.0185546875,1459308.75,1960284.625,444623.15625
0.272,23684.646484375,588.8743896484375,346773,1963058.75,444623.15625
0.276,23642.708984375,-50.064769744873047,2506.481201171875,1963078.75,444623.15625
0.28,23698.546875,-695.47149658203125,483680.59375,1966948.375,444623.15625
0.284,23726.130859375,-1333.8343505859375,1779114,1981181,444623.15625
0.288,23669.197265625,-1951.779296875,3809442.75,2011656.75,444623.15625
0.292,23626.828125,-2536.385498046875,6433251,2063122.75,2138791.5
0.296,23683.57421875,-3075.483642578125,9458600,2138791.5,2138791.5
0.3,23730.828125,-3557.942138671875,12658952,2240063.25,2138791.5
0.304,23685.291015625,-3973.91943359375,15792037,2366399.5,2138791.5
0.308,23617.29296875,-4315.08056640625,18619920,2515358.75,2138791.5
0.312,23682.40625,-4574.7763671875,20928576,2682787.5,2138791.5
0.316,23730.23046875,-4748.18115234375,22545226,2863149.25,2138791.5
0.32,23731.58984375,-4832.37890625,23351884,3049964,2138791.5
0.324,23652.271484375,-4826.41259765625,23294256,3236318,2138791.5
0.328,23704.88671875,-4731.2685546875,22384902,3415397.5,2138791.5
0.332,23762.75,-4549.83447265625,20700992,3581005.5,2138791.5
0.336,23747.400390625,-4286.79052734375,18376572,3728018,2138791.5
0.34,23665.740234375,-3948.48046875,15590499,3852742,2138791.5
0.344,23697.306640625,-3542.73779296875,12550990,3953150,2138791.5
0.348,23760.322265625,-3078.671875,9478221,4028975.5,2138791.5
0.352,23754.07421875,-2566.440185546875,6586615,4081668.75,2138791.5
0.356,23636.630859375,-2016.994873046875,4068268,4114214.75,2138791.5
0.36,23655.228515625,-1441.8228759765625,2078853.375,4130845.5,2138791.5
0.364,23720.791015625,-852.67071533203125,727047.375,4136662,2138791.5
0.368,23723.79296875,-261.27651977539062,68265.421875,4137208,2138791.5
0.372,23664.85546875,320.89105224609375,102971.0625,4138032,2138791.5
0.376,23650.337890625,882.87908935546875,779475.5,4144267.5,2138791.5
0.38,23715.712890625,1414.4798583984375,2000753.375,4160273.5,2138791.5
0.384,23730.78125,1906.4365234375,3634500,4189349.5,2138791.5
0.388,23682.333984375,2350.61669921875,5525399,4233553.5,2138791.5
0.392,23642.208984375,2740.151611328125,7508431,4293620,2138791.5
0.396,23735.525390625,3069.545654296875,9422110,4368997.5,4368997.5
0.4,23765.494140625,3334.74755859375,11120541,4457961.5,4368997.5
0.404,23728.27734375,3533.188720703125,12483422,4557829.5,4368997.5
0.408,23672.65234375,3663.774169921875,13423240,4665215,4368997.5
0.412,23728.755859375,3726.84912109375,13889405,4776330.5,4368997.5
0.416,23771.146484375,3724.132080078125,13869160,4887283,4368997.5
0.42,23748.54296875,3658.612548828125,13385446,4994367,4368997.5
0.424,23673.10546875,3534.428466796875,12492184,5094304,4368997.5
0.428,23710.587890625,3356.71435546875,11267531,5184444,4368997.5
0.432,23779.82421875,3131.44287109375,9805934,5262892,4368997.5
0.436,23726.05859375,2865.24951171875,8209655,5328569.5,4368997.5
0.44,23648.8125,2565.244873046875,6580481.5,5381213.5,4368997.5
0.444,23667.12109375,2238.829345703125,5012357.5,5421312,4368997.5
0.448,23742.322265625,1893.5126953125,3585390,5449995,4368997.5
0.452,23734.880859375,1536.7386474609375,2361565.5,5468887,4368997.5
0.456,23665.30859375,1175.7183837890625,1382313.75,5479946.5,4368997.5
0.46,23658.87109375,817.2801513671875,667946.875,5485290.5,4368997.5
0.464,23735.76171875,467.739501953125,218780.21875,5487040,4368997.5
0.468,23744.728515625,132.78861999511719,17632.818359375,5487181.5,4368997.5
0.472,23695.875,-182.59297180175781,33340.1875,5487448,4368997.5
0.476,23681.09375,-474.2060546875,224871.375,5489247,4368997.5
0.48,23757.912109375,-738.6728515625,545637.5,5493612,4368997.5
